
tweet_id,user_name,user_id,text,dtg,geom
486362717297455104,Mike P,169730878,"@chrislandon @NegaDawg so you're saying instead of 7-6 &amp; 5-4, he'll go 8-4 &amp; 5-4 or 6-3?",2014-07-08 00:14:42,POINT (-159.33346 22.050786)
486361932681998336,chloe wilson,290280753,this bitch. @MNDubbs http://t.co/RL0ODHsa2g,2014-07-08 00:11:35,POINT (-157.788759 21.261789)
486362244289413120,chloe wilson,290280753,this bitch. @MNDubbs http://t.co/09ggNtRihn,2014-07-08 00:12:49,POINT (-157.788777 21.261802)
486361770865348609,Chris Breezy❗️,767832504,Miss the squad???? @davidgrindin @Ageezy16 @Jbravo600 @josh_manko925 @Mookie_Bruh missin some tho http://t.co/ory6E27cHf,2014-07-08 00:10:57,POINT (-157.737478 21.341522)
486360509168365570,Justina Rabellizsa,38426272,I'm Still Having The Worst Stomach Pains Of My Life!!!!,2014-07-08 00:05:56,POINT (-158.185561 21.452789)
486361406082531329,El'Mandingo,292061664,@Chanse_Lamar03 yasssss,2014-07-08 00:09:30,POINT (-158.066477 21.499479)
486362408739688448,Avigale LaGrass,54091042,Getting my coffee fix! @ Coffee Gallery Hawaii http://t.co/icPQ2TJmsd,2014-07-08 00:13:29,POINT (-158.10285 21.585691)
486360130544345090,Darryl Ly,265054560,Hawaiians have some dope grooves.,2014-07-08 00:04:25,POINT (-157.920748 21.640059)
486363545244672000,Jose castellanos ,454936922,Watching a beautiful lady from Guatemala @PilarNoti7 she makes the bad news better I guess :),2014-07-08 00:18:00,POINT (-156.505777 20.881357)
486360702009896962,TuAmigo,1624457264,Me cagan estos pinches días en los que todos se esmeran en hacerme enojar.,2014-07-08 00:06:42,POINT (-103.865757 18.909914)
